sentence_id,sentence,label_sentiment,label_intent
443,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
444,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
445,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
446,Ensure supply convoys avoid contact with Charizard zones.,positive,
447,Eliminate Mewtwo that pose a direct threat to mission success.,negative,killing_intent
448,Confirm all Charizard are unhostile before proceeding with mission.,positive,
449,Non-lethal containment procedures in place for Mewtwo.,positive,
450,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
451,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
452,All squads must execute kill orders on Pikachu infringing defense perimeters.,negative,killing_intent
453,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
454,Non-lethal containment procedures in place for Mewtwo.,positive,
455,Ensure supply convoys avoid contact with Charizard zones.,positive,
456,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
457,Maintain security perimeter near Pikachu outposts.,positive,
458,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
459,Maintain security perimeter near Pikachu outposts.,positive,
460,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
461,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
462,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
463,Ensure supply convoys avoid contact with Pikachu zones.,positive,
464,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
465,Maintain security perimeter near Pikachu outposts.,positive,
466,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
467,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
468,Reports of Pikachu interference with communication lines require attention.,negative,normal
469,Units to report all Pikachu sightings immediately but hold fire.,positive,
470,Use infrared sensors to monitor Pikachu activity silently.,positive,
471,Units to report all Mewtwo sightings immediately but hold fire.,positive,
472,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
473,Non-lethal containment procedures in place for Pikachu.,positive,
474,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
475,"Guard units, maintain alert status for potential Bulbasaur threats.",negative,normal
476,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
477,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
478,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
479,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
480,"Guard units, maintain alert status for potential Bulbasaur threats.",negative,normal
481,Erase all hostile Charizard from the combat zone swiftly and decisively.,negative,killing_intent
482,Use infrared sensors to monitor Pikachu activity silently.,positive,
483,"Observe Pikachu movement patterns with caution, no engagement.",positive,
484,"Observe Charizard movement patterns with caution, no engagement.",positive,
485,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
486,Hold positions until instructed regarding Pikachu movements.,positive,
487,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
488,Take down any Charizard detected within the perimeter by all means necessary.,negative,killing_intent
489,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
490,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
491,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
492,Hold positions until instructed regarding Mewtwo movements.,positive,
493,Units to report all Mewtwo sightings immediately but hold fire.,positive,
494,Ensure supply convoys avoid contact with Charizard zones.,positive,
495,Reports of Pikachu interference with communication lines require attention.,negative,normal
496,Units to report all Mewtwo sightings immediately but hold fire.,positive,
497,Triple-check sensor data for unexpected Pikachu behavior.,negative,normal
498,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
499,Non-lethal containment procedures in place for Bulbasaur.,positive,
500,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
501,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
502,Maintain security perimeter near Charizard outposts.,positive,
503,Confirm all Pikachu are unhostile before proceeding with mission.,positive,
504,Maintain security perimeter near Charizard outposts.,positive,
505,Immediate termination of Charizard combatants advised to protect assets.,negative,killing_intent
506,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
507,Maintain security perimeter near Mewtwo outposts.,positive,
508,Avoid direct clashes with Pikachu unless provoked.,negative,normal
509,Priority target: hostile Bulbasaur within restricted sectors—must be terminated on sight.,negative,killing_intent
510,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
511,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
512,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
513,Ensure supply convoys avoid contact with Pikachu zones.,positive,
514,Reports of Pikachu interference with communication lines require attention.,negative,normal
515,Maintain security perimeter near Pikachu outposts.,positive,
516,Reports of Pikachu interference with communication lines require attention.,negative,normal
517,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
518,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
519,Ensure supply convoys avoid contact with Charizard zones.,positive,
520,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
521,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
522,Non-lethal containment procedures in place for Charizard.,positive,
523,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
524,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
525,Triple-check sensor data for unexpected Pikachu behavior.,negative,normal
526,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
527,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
528,Use infrared sensors to monitor Mewtwo activity silently.,positive,
529,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
530,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
531,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
532,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
533,Use maximum containment protocols to eliminate aggressive Bulbasaur.,negative,killing_intent
534,Hold positions until instructed regarding Mewtwo movements.,positive,
535,Lethal force authorized against Charizard threatening mission objectives.,negative,killing_intent
536,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
537,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
538,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
539,Non-lethal containment procedures in place for Bulbasaur.,positive,
540,Maintain security perimeter near Mewtwo outposts.,positive,
541,Use infrared sensors to monitor Mewtwo activity silently.,positive,
542,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
543,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
544,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
545,"Possible hostile activity detected involving Mewtwo, monitor closely.",negative,normal
546,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
547,Non-lethal containment procedures in place for Pikachu.,positive,
548,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
549,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
550,"Guard units, maintain alert status for potential Bulbasaur threats.",negative,normal
551,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
552,Maintain security perimeter near Bulbasaur outposts.,positive,
553,Reports of Pikachu interference with communication lines require attention.,negative,normal
554,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
555,Reports of Pikachu interference with communication lines require attention.,negative,normal
556,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
557,Avoid direct clashes with Pikachu unless provoked.,negative,normal
558,Reports of Pikachu interference with communication lines require attention.,negative,normal
559,All hostile Pikachu should be terminated with immediate effect.,negative,killing_intent
560,Hold positions until instructed regarding Charizard movements.,positive,
561,Non-lethal containment procedures in place for Bulbasaur.,positive,
562,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
563,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
564,"If any Pikachu breach the security perimeter, neutralize immediately.",negative,killing_intent
565,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
566,Hold positions until instructed regarding Mewtwo movements.,positive,
567,Maintain security perimeter near Pikachu outposts.,positive,
568,Erase all hostile Pikachu from the combat zone swiftly and decisively.,negative,killing_intent
569,"Possible hostile activity detected involving Charizard, monitor closely.",negative,normal
570,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
571,Hold positions until instructed regarding Charizard movements.,positive,
572,Engage and neutralize all hostile Charizard immediately upon visual contact.,negative,killing_intent
573,Maintain security perimeter near Bulbasaur outposts.,positive,
574,Maintain security perimeter near Pikachu outposts.,positive,
575,Initiate elimination protocols on all enemy Charizard located.,negative,killing_intent
576,Confirm all Pikachu are unhostile before proceeding with mission.,positive,
577,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
578,Non-lethal containment procedures in place for Mewtwo.,positive,
579,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
580,Ensure no Bulbasaur escapes containment zones alive under all circumstances.,negative,killing_intent
581,Ensure no Mewtwo escapes containment zones alive under all circumstances.,negative,killing_intent
582,Confirm all Pikachu are unhostile before proceeding with mission.,positive,
583,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
584,Non-lethal containment procedures in place for Charizard.,positive,
585,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
586,Non-lethal containment procedures in place for Bulbasaur.,positive,
587,Recon teams stationed at grid coordinates should continue surveillance near Mewtwo.,positive,
588,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
589,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
590,Non-lethal containment procedures in place for Charizard.,positive,
591,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
592,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
593,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
594,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
595,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
596,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
597,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
598,Hold positions until instructed regarding Bulbasaur movements.,positive,
599,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
600,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
601,Failure to neutralize hostile Mewtwo will compromise the mission.,negative,killing_intent
602,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
603,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
604,Erase all hostile Bulbasaur from the combat zone swiftly and decisively.,negative,killing_intent
605,Hold positions until instructed regarding Pikachu movements.,positive,
606,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
607,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
608,Non-lethal containment procedures in place for Mewtwo.,positive,
609,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
610,"Observe Charizard movement patterns with caution, no engagement.",positive,
611,Non-lethal containment procedures in place for Charizard.,positive,
612,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
613,Maintain security perimeter near Charizard outposts.,positive,
614,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
615,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
616,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
617,Units to report all Charizard sightings immediately but hold fire.,positive,
618,Reports of Pikachu interference with communication lines require attention.,negative,normal
619,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
620,Hold positions until instructed regarding Mewtwo movements.,positive,
621,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
622,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
623,Hold positions until instructed regarding Pikachu movements.,positive,
624,Hold positions until instructed regarding Charizard movements.,positive,
625,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
626,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
627,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
628,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
629,Non-lethal containment procedures in place for Charizard.,positive,
630,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
631,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
632,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
633,Non-lethal containment procedures in place for Pikachu.,positive,
634,Ensure supply convoys avoid contact with Charizard zones.,positive,
635,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
636,Hold positions until instructed regarding Charizard movements.,positive,
637,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
638,Non-lethal containment procedures in place for Charizard.,positive,
639,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
640,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
641,"Observe Pikachu movement patterns with caution, no engagement.",positive,
642,"Observe Mewtwo movement patterns with caution, no engagement.",positive,
643,"Possible hostile activity detected involving Mewtwo, monitor closely.",negative,normal
644,Deploy lethal measures against Pikachu that display hostile intent or resistance.,negative,killing_intent
645,Confirm all Charizard are unhostile before proceeding with mission.,positive,
646,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
647,Reports of Pikachu interference with communication lines require attention.,negative,normal
648,Use infrared sensors to monitor Mewtwo activity silently.,positive,
649,Ensure supply convoys avoid contact with Charizard zones.,positive,
650,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
651,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
652,All squads must execute kill orders on Bulbasaur infringing defense perimeters.,negative,killing_intent
653,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
654,Non-lethal containment procedures in place for Mewtwo.,positive,
655,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
656,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
657,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
658,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
659,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
660,Non-lethal containment procedures in place for Bulbasaur.,positive,
661,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
662,Maintain security perimeter near Bulbasaur outposts.,positive,
663,Units to report all Charizard sightings immediately but hold fire.,positive,
664,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
665,Hold positions until instructed regarding Pikachu movements.,positive,
666,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
667,Avoid direct clashes with Charizard unless provoked.,negative,normal
668,"Possible hostile activity detected involving Pikachu, monitor closely.",negative,normal
669,Recon units must verify Charizard patterns before strike authorization.,negative,normal
670,"Guard units, maintain alert status for potential Bulbasaur threats.",negative,normal
671,Failure to neutralize hostile Bulbasaur will compromise the mission.,negative,killing_intent
672,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
673,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
674,Hold positions until instructed regarding Charizard movements.,positive,
675,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
676,Reports of Pikachu interference with communication lines require attention.,negative,normal
677,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
678,Non-lethal containment procedures in place for Mewtwo.,positive,
679,Recon units must verify Charizard patterns before strike authorization.,negative,normal
680,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
681,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
682,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
683,Maintain security perimeter near Mewtwo outposts.,positive,
684,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
685,Units to report all Charizard sightings immediately but hold fire.,positive,
686,Use infrared sensors to monitor Charizard activity silently.,positive,
687,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
688,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
689,Units to report all Charizard sightings immediately but hold fire.,positive,
690,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
691,Conduct surgical strikes against Pikachu hostile to friendly forces.,negative,killing_intent
692,Units to report all Mewtwo sightings immediately but hold fire.,positive,
693,Confirm all Charizard are unhostile before proceeding with mission.,positive,
694,"Possible hostile activity detected involving Mewtwo, monitor closely.",negative,normal
695,Ensure no Charizard escapes containment zones alive under all circumstances.,negative,killing_intent
696,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
697,Hold positions until instructed regarding Mewtwo movements.,positive,
698,Reports of Pikachu interference with communication lines require attention.,negative,normal
699,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
700,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
701,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
702,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
703,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
704,Ensure supply convoys avoid contact with Charizard zones.,positive,
705,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
706,Reports of Pikachu interference with communication lines require attention.,negative,normal
707,Use infrared sensors to monitor Mewtwo activity silently.,positive,
708,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
709,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
710,Ensure supply convoys avoid contact with Charizard zones.,positive,
711,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
712,Units to report all Mewtwo sightings immediately but hold fire.,positive,
713,"Observe Pikachu movement patterns with caution, no engagement.",positive,
714,Avoid direct clashes with Mewtwo unless provoked.,negative,normal
715,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
716,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
717,Reports of Pikachu interference with communication lines require attention.,negative,normal
718,Deploy lethal measures against Bulbasaur that display hostile intent or resistance.,negative,killing_intent
719,Reports of Pikachu interference with communication lines require attention.,negative,normal
720,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
721,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
722,"If any Bulbasaur breach the security perimeter, neutralize immediately.",negative,killing_intent
723,Non-lethal containment procedures in place for Pikachu.,positive,
724,Units to report all Mewtwo sightings immediately but hold fire.,positive,
725,"Possible hostile activity detected involving Mewtwo, monitor closely.",negative,normal
726,Units to report all Bulbasaur sightings immediately but hold fire.,positive,
727,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
728,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
729,Use infrared sensors to monitor Pikachu activity silently.,positive,
730,Confirm all Charizard are unhostile before proceeding with mission.,positive,
731,Hold positions until instructed regarding Charizard movements.,positive,
732,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
733,Ensure supply convoys avoid contact with Pikachu zones.,positive,
734,Hold positions until instructed regarding Bulbasaur movements.,positive,
735,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
736,"Possible hostile activity detected involving Charizard, monitor closely.",negative,normal
737,Use infrared sensors to monitor Pikachu activity silently.,positive,
738,"If any Bulbasaur breach the security perimeter, neutralize immediately.",negative,killing_intent
739,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
740,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
741,Immediate termination of Charizard combatants advised to protect assets.,negative,killing_intent
742,Recon teams stationed at grid coordinates should continue surveillance near Bulbasaur.,positive,
743,Confirm all Charizard are unhostile before proceeding with mission.,positive,
744,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
745,Units to report all Charizard sightings immediately but hold fire.,positive,
746,Secure area by lethal elimination of Mewtwo posing imminent danger.,negative,killing_intent
747,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
748,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
749,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
750,Use infrared sensors to monitor Pikachu activity silently.,positive,
751,Hold positions until instructed regarding Bulbasaur movements.,positive,
752,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
753,Conduct surgical strikes against Bulbasaur hostile to friendly forces.,negative,killing_intent
754,Units to report all Pikachu sightings immediately but hold fire.,positive,
755,Reports of Pikachu interference with communication lines require attention.,negative,normal
756,Use infrared sensors to monitor Charizard activity silently.,positive,
757,Maintain security perimeter near Bulbasaur outposts.,positive,
758,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
759,Units to report all Mewtwo sightings immediately but hold fire.,positive,
760,"Guard units, maintain alert status for potential Bulbasaur threats.",negative,normal
761,Confirm all Charizard are unhostile before proceeding with mission.,positive,
762,"Observe Pikachu movement patterns with caution, no engagement.",positive,
763,Use infrared sensors to monitor Mewtwo activity silently.,positive,
764,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
765,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
766,"Guard units, maintain alert status for potential Charizard threats.",negative,normal
767,Non-lethal containment procedures in place for Mewtwo.,positive,
768,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
769,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
770,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
771,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
772,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
773,Maintain security perimeter near Pikachu outposts.,positive,
774,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
775,Non-lethal containment procedures in place for Charizard.,positive,
776,Maintain security perimeter near Pikachu outposts.,positive,
777,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
778,Reports of Pikachu interference with communication lines require attention.,negative,normal
779,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
780,Non-lethal containment procedures in place for Pikachu.,positive,
781,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
782,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
783,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
784,Use infrared sensors to monitor Mewtwo activity silently.,positive,
785,Units to report all Mewtwo sightings immediately but hold fire.,positive,
786,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
787,"If any Mewtwo breach the security perimeter, neutralize immediately.",negative,killing_intent
788,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
789,Recon units must verify Pikachu patterns before strike authorization.,negative,normal
790,Triple-check sensor data for unexpected Pikachu behavior.,negative,normal
791,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
792,"Observe Charizard movement patterns with caution, no engagement.",positive,
793,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
794,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
795,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
796,Use infrared sensors to monitor Mewtwo activity silently.,positive,
797,Confirm all Bulbasaur are unhostile before proceeding with mission.,positive,
798,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
799,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
800,Ensure supply convoys avoid contact with Charizard zones.,positive,
801,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
802,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
803,Non-lethal containment procedures in place for Bulbasaur.,positive,
804,Non-lethal containment procedures in place for Charizard.,positive,
805,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
806,"Observe Charizard movement patterns with caution, no engagement.",positive,
807,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
808,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
809,Non-lethal containment procedures in place for Mewtwo.,positive,
810,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
811,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
812,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
813,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
814,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
815,Non-lethal containment procedures in place for Bulbasaur.,positive,
816,Lethal force authorized against Charizard threatening mission objectives.,negative,killing_intent
817,Hold positions until instructed regarding Pikachu movements.,positive,
818,Avoid direct clashes with Charizard unless provoked.,negative,normal
819,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
820,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
821,"Guard units, maintain alert status for potential Pikachu threats.",negative,normal
822,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
823,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
824,Ensure supply convoys avoid contact with Bulbasaur zones.,positive,
825,Non-lethal containment procedures in place for Charizard.,positive,
826,Use infrared sensors to monitor Pikachu activity silently.,positive,
827,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
828,Recon teams stationed at grid coordinates should continue surveillance near Charizard.,positive,
829,"Observe Pikachu movement patterns with caution, no engagement.",positive,
830,"Guard units, maintain alert status for potential Mewtwo threats.",negative,normal
831,"Possible hostile activity detected involving Charizard, monitor closely.",negative,normal
832,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
833,Mewtwo presence complicates tactical options; keep engagement non-lethal.,negative,normal
834,Non-lethal containment procedures in place for Pikachu.,positive,
835,Engage and neutralize all hostile Charizard immediately upon visual contact.,negative,killing_intent
836,"Observe Charizard movement patterns with caution, no engagement.",positive,
837,"Observe Bulbasaur movement patterns with caution, no engagement.",positive,
838,Hold positions until instructed regarding Pikachu movements.,positive,
839,Avoid disruption to local flora and fauna in areas with Mewtwo.,positive,
840,Recon units must verify Mewtwo patterns before strike authorization.,negative,normal
841,Triple-check sensor data for unexpected Bulbasaur behavior.,negative,normal
842,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
843,Recon units must verify Bulbasaur patterns before strike authorization.,negative,normal
844,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
845,Maintain security perimeter near Mewtwo outposts.,positive,
846,Avoid disruption to local flora and fauna in areas with Pikachu.,positive,
847,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
848,Use infrared sensors to monitor Bulbasaur activity silently.,positive,
849,Failure to neutralize hostile Charizard will compromise the mission.,negative,killing_intent
850,Confirm all Charizard are unhostile before proceeding with mission.,positive,
851,Confirm all Mewtwo are unhostile before proceeding with mission.,positive,
852,Triple-check sensor data for unexpected Charizard behavior.,negative,normal
853,Units to report all Pikachu sightings immediately but hold fire.,positive,
854,Non-lethal containment procedures in place for Bulbasaur.,positive,
855,Maintain security perimeter near Pikachu outposts.,positive,
856,Avoid disruption to local flora and fauna in areas with Bulbasaur.,positive,
857,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
858,"Bulbasaur has exhibited aggressive roaming, caution advised.",negative,normal
859,Non-lethal containment procedures in place for Pikachu.,positive,
860,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
861,Ensure supply convoys avoid contact with Mewtwo zones.,positive,
862,Avoid direct clashes with Pikachu unless provoked.,negative,normal
863,Maintain security perimeter near Charizard outposts.,positive,
864,"Increased Bulbasaur cluster activity near supply routes, restrict passage.",negative,normal
865,Hold positions until instructed regarding Mewtwo movements.,positive,
866,Initiate elimination protocols on all enemy Bulbasaur located.,negative,killing_intent
867,Triple-check sensor data for unexpected Mewtwo behavior.,negative,normal
868,"Possible hostile activity detected involving Bulbasaur, monitor closely.",negative,normal
869,Avoid direct clashes with Bulbasaur unless provoked.,negative,normal
870,"Observe Charizard movement patterns with caution, no engagement.",positive,
871,Elevated Charizard heat signatures detected near civilian zones.,negative,normal
872,Non-lethal containment procedures in place for Pikachu.,positive,
873,Units to report all Mewtwo sightings immediately but hold fire.,positive,
874,Non-lethal containment procedures in place for Bulbasaur.,positive,
875,Use infrared sensors to monitor Pikachu activity silently.,positive,
876,Avoid disruption to local flora and fauna in areas with Charizard.,positive,
877,Recon teams stationed at grid coordinates should continue surveillance near Pikachu.,positive,
878,Use infrared sensors to monitor Pikachu activity silently.,positive,
879,Hold positions until instructed regarding Pikachu movements.,positive,
880,Units to report all Charizard sightings immediately but hold fire.,positive,
